,Unnamed: 0,campo,x,y,w,h,text
0,0,fecha,42,108,136,19,28/7/2014
1,1,hora,224,106,63,21,14:36
2,2,localizacion pais,352,106,91,18,ESPANA
3,3,danos_materiales objetos si,378,191,0,0, 
4,4,danos_materiales vehículos no,89,189,18,13,X
5,5,lugar,453,104,119,19,FRECHILLA
6,6,victimas si,848,109,14,15,X
7,7,testigos,436,155,268,23,"LUISA TOMAS, 6352605991"
8,8,A asegurado nombre,118,283,107,18,MARGARITA
9,9,A asegurado apellidos,115,305,109,24,CUESTA
10,10,A asegurado direccion,118,339,133,20,C/ ARIAS 56
11,11,A asegurado codigo_postal,143,364,98,19,22211
12,12,A asegurado pais,275,364,99,20,ESPANA
13,13,A asegurado telefono,151,394,159,21,6463402796
14,14,A  vehiculo marca_modelo,54,500,157,12,AUDI INSIGNIA
15,15,A  vehiculo matricula,53,532,49,18,1923GJO
16,16,A  vehiculo pais,53,571,81,15,ESPANA
17,17,A  remolque matricula,253,529,43,19,8901XLJ
18,18,A  remolque pais,256,570,82,16,ESPANA
19,19,A  aseguradora_nombre,118,624,100,23,SANNA
20,20,A  aseguradora num_poliza,138,652,76,18,1595
21,21,A  aseguradora carta_verde,175,677,108,19,80212
22,22,A  aseguradora carta_verde_desde,282,728,59,15,12/39
23,23,A  aseguradora carta_verde_hasta,372,727,57,15,2/12
24,24,A  aseguradora agencia,233,750,75,18,TERMENS
25,25,A  aseguradora agencia nombre,110,771,79,18,GONZALO
26,26,A  aseguradora agencia direccion,118,797,152,18,CALLE SOLER 96
27,27,A  aseguradora pais,275,819,77,19,RUMANIA
28,28,A  aseguradora telefono,155,851,219,19,ROMERO.EMILIO@GMAIL.ES
29,29,A  aseguradora danos_propios_no,155,896,14,15,X
30,30,A  conductor nombre,122,945,71,15,DAVID
31,31,A  conductor apellidos,122,969,73,19,GUERRA
32,32,A  conductor fecha_nac,195,993,154,21,22/5/1989
33,33,A  conductor direccion,122,1022,103,15,C/ CRESPO 83
34,34,A  conductor pais,276,1044,101,19,ESPANA
35,35,A  conductor telefono,149,1071,133,19,6418670739
36,36,A  conductor permiso,215,1101,95,15,11149363I
37,37,A  conductor categoria,196,1125,42,18,A2
38,38,A  conductor valido_hasta,193,1149,178,21,23/2/2017
39,39,A  conductor danos_apreciados,46,1439,162,10,SILENCIADOR DESCOLGADO
40,40,B asegurado nombre,844,283,33,18,JOAN
41,41,B asegurado apellidos,841,310,97,18,ESCUDERO
42,42,B asegurado direccion,844,332,136,23,C/ DIAZ 93
43,43,B asegurado codigo_postal,865,362,94,22,31889
44,44,B asegurado pais,998,363,111,21,ESPANA
45,45,B asegurado telefono,870,393,210,25,GALAN.ANA@GMAIL.ES
46,46,B vehiculo marca_modelo,774,501,162,19,OPEL CARAVELLE
47,47,B vehiculo matricula,773,535,73,19,845ZBI
48,48,B vehiculo pais,775,572,81,16,ESPANA
49,49,B remolque pais,974,573,79,16,ESPANA
50,50,B remolque matricula,974,538,72,14,8534VLV
51,51,B aseguradora_nombre,842,625,60,18,GES
52,52,B aseguradora n_poliza,862,650,41,16,9166
53,53,B aseguradora carta_verde,899,673,72,19,63197
54,54,B aseguradora carta_verde_desde,1004,722,54,20,2/7
55,55,B aseguradora carta_verde_hasta,1095,715,58,28,8/6
56,56,B aseguradora agencia,958,750,200,15,SAELICES DE LA SAL
57,57,B aseguradora agencia nombre,835,773,65,15,SERGIO
58,58,B aseguradora agencia direccion,841,796,148,16,CALLE PRIETO 75
59,59,B aseguradora agencia pais,993,815,100,21,ESPANA
60,60,B aseguradora telefono,873,845,178,22,6469820353
61,61,B aseguradora danos_propios no,880,900,10,8,X
62,62,B aseguradora danos_propios si,977,897,13,12,X
63,63,B conductor nombre,840,945,74,15,VERONICA
64,64,B conductor apellidos,840,969,68,17,MOLINA
65,65,B conductor fecha_nac,908,992,130,21,19/10/1980
66,66,B conductor direccion,844,1021,178,18,CALLE VILLAR 15
67,67,B conductor pais,994,1047,80,15,ESPANA
68,68,B conductor telefono,872,1072,184,21,6829473545
69,69,B conductor permiso,935,1098,59,17,7490064Y
70,70,B conductor categoria,919,1122,40,19,A2
71,71,B conductor valido_hasta,911,1150,100,15,6/5/2017
72,72,B danos_apreciados,982,1439,178,7,DIRECCION ASISTIDA ESTROPEADO
73,73,victimas no,751,112,9,9,X
74,74,danos_materiales objetos no,276,191,0,0, 
75,75,danos_materiales vehiculos si,191,190,0,0, 
76,76,A 1,448,327,15,18,X
77,77,A 2,446,354,14,11,X
78,78,A 3,448,392,14,16,X
79,79,A 4,448,432,0,0, 
80,80,A 5,448,479,0,0, 
81,81,A 6,450,524,0,0, 
82,82,A 7,448,570,17,13,X
83,83,A 8,448,621,0,0, 
84,84,A 9,448,685,0,0, 
85,85,A 10,448,732,0,0, 
86,86,A 11,449,759,15,15,X
87,87,A 12,448,796,0,0, 
88,88,A 13,448,823,16,18,X
89,89,A 14,450,859,0,0, 
90,90,A 15,446,894,0,0, 
91,91,A 16,448,934,16,18,X
92,92,A 17,445,986,16,14,X
93,93,A n_casillas,448,1040,0,0, 
94,94,B n_casillas,728,1038,0,0, 
95,95,B 17,732,982,23,18,X
96,96,B 16,733,943,0,0, 
97,97,B 15,731,896,0,0, 
98,98,B 14,733,854,15,16,X
99,99,B 13,732,823,24,21,X
100,100,B 12,732,798,0,0, 
101,101,B 11,732,759,19,15,X
102,102,B 10,730,730,21,14,X
103,103,B 9,731,683,16,14,X
104,104,B 8,733,623,0,0, 
105,105,B 7,730,576,0,0, 
106,106,B 6,732,527,0,0, 
107,107,B 5,731,479,0,0, 
108,108,B 4,734,426,16,17,X
109,109,B 3,731,394,18,13,X
110,110,B 2,730,350,14,16,X
111,111,B 1,733,329,12,13,X
112,112,A  aseguradora danos_propios_si,255,900,9,9,X
113,113,texto maquina,41,45,631,27,
114,114,texto maquina,44,83,162,17,
115,115,texto maquina,224,80,40,20,
116,116,texto maquina,321,80,114,21,
117,117,texto maquina,456,82,43,16,
118,118,texto maquina,321,105,31,18,
119,119,texto maquina,686,81,186,16,
120,120,texto maquina,731,109,21,16,
121,121,texto maquina,832,108,20,16,
122,122,texto maquina,43,134,142,19,
123,123,texto maquina,437,134,240,21,
124,124,texto maquina,42,158,375,17,
125,125,texto maquina,65,186,24,18,
126,126,texto maquina,170,180,19,22,
127,127,texto maquina,255,184,22,19,
128,128,texto maquina,360,182,16,19,
129,129,texto maquina,174,222,127,26,
130,130,texto maquina,46,259,223,21,
131,131,texto maquina,49,287,71,19,
132,132,texto maquina,45,313,68,20,
133,133,texto maquina,47,341,72,20,
134,134,texto maquina,49,369,93,17,
135,135,texto maquina,240,369,35,18,
136,136,texto maquina,44,396,89,15,
137,137,texto maquina,45,427,77,16,
138,138,texto maquina,69,465,134,17,
139,139,texto maquina,300,463,74,18,
140,140,texto maquina,51,483,97,17,
